Date : 2026-08-06 22:41:39
Directory : c:\First Person Shooter
Total : 415 files,  51805 codes, 19573 comments, 11179 blanks, all 82557 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        406 |     49,688 |     19,542 |     11,077 |     80,307 |
| C                  |          1 |      1,769 |         25 |         47 |      1,841 |
| XML                |          1 |        178 |          0 |          0 |        178 |
| GLSL               |          4 |         71 |          6 |         34 |        111 |
| CMake              |          1 |         61 |          0 |         10 |         71 |
| Markdown           |          1 |         28 |          0 |         11 |         39 |
| JSON with Comments |          1 |         10 |          0 |          0 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |        415 |     51,805 |     19,573 |     11,179 |     82,557 |
| . (Files)                                                                          |         30 |      2,539 |         94 |        244 |      2,877 |
| Libarys                                                                            |        385 |     49,266 |     19,479 |     10,935 |     79,680 |
| Libarys\include                                                                    |        385 |     49,266 |     19,479 |     10,935 |     79,680 |
| Libarys\include\GLFW                                                               |          2 |        751 |      6,149 |        312 |      7,212 |
| Libarys\include\KHR                                                                |          1 |        117 |        165 |         30 |        312 |
| Libarys\include\glad                                                               |          1 |      3,574 |         20 |         18 |      3,612 |
| Libarys\include\glm                                                                |        380 |     38,991 |     11,851 |      9,714 |     60,556 |
| Libarys\include\glm (Files)                                                        |         24 |      1,360 |      1,247 |        400 |      3,007 |
| Libarys\include\glm\detail                                                         |         61 |     16,886 |      1,101 |      3,025 |     21,012 |
| Libarys\include\glm\ext                                                            |        123 |      3,231 |      2,665 |      1,188 |      7,084 |
| Libarys\include\glm\gtc                                                            |         38 |      5,357 |      3,378 |      2,119 |     10,854 |
| Libarys\include\glm\gtx                                                            |        124 |     10,738 |      3,077 |      2,669 |     16,484 |
| Libarys\include\glm\simd                                                           |         10 |      1,419 |        383 |        313 |      2,115 |
| Libarys\include\stb                                                                |          1 |      5,833 |      1,294 |        861 |      7,988 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
